915|648|647|source|9926
917|649|647|source|9927
4548|4017|4012|source|33075
4560|4012|4029|same_as|33095
4561|4012|4029|same_as|33096
5741|4029|4030|same_as|33305
5777|4012|647|same_as|33306
419245|214925|214927|rated|118505
419246|214925|214928|rated|118506
419249|214932|214933|rated|118508
419250|214933|4012|source|118508
419251|214925|214934|rated|118509
419293|4012|214978|related_to|118537
419294|214978|214976|source|118537
419298|214983|214984|rated|118540
419301|214986|214987|rated|118542
419305|214991|214992|impact|118499
419306|214992|214918|source|118499
419307|214992|214921|rated|118500
419308|214992|214922|rated|118501
419309|214918|214925|impact|118502
419310|214925|214889|source|118502
419313|214991|214986|rated|118541
419314|214986|4012|source|118541
419318|4012|214983|related_to|118537
419319|214983|214976|source|118537
419320|214922|214889|source|118501
419321|214992|214995|rated|118546
419323|214992|214998|rated|118548
419324|214986|214999|rated|118549
419502|9767|215148|agree|33919
419508|9767|215153|agree|33922
419509|4762|215154|rated|33923
419510|5021|215155|rated|33835
419511|215155|4012|source|33835
419512|9767|215156|rated|33931
419515|4762|215159|rated|33920
419524|4995|215167|impact|33818
419525|215167|4012|source|33818
419530|9767|215170|rated|33932
419537|4762|215177|rated|33921
419540|4762|215179|related_to|33924
419545|644|215183|rated|33918
419546|215183|4012|source|33918
419547|4762|9767|rated|33830
419548|4762|215184|rated|33925
419551|9767|215186|rated|33929
419553|4762|4764|impact|33594
419554|4764|4012|source|33594
419555|4762|214991|impact|118550
(50 rows)
